"Name","Chr:bp","Genomic size (bp)","Class","Source Study","Study description"
"nsv3902883","14:18223945-106880863","88,656,919","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv3907460","14:18504256-106879456","88,375,201","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv3899639","14:18551346-106879456","88,328,111","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv2778054","14:18862646-106826050","87,963,405","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3903256","14:19652445-106826050","87,173,606","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv948772","14:19798855-106649040","86,850,186","CNV","DGVa:nstd85","Database of Genomic Variants Archive: Vulto 2013 ""The study consists of a cohort of 5,531 consecutive patients with intellectual disability who were screened for CNVs using the Affymetrix 250K NspI single-nucleotide polymorphism (SNP) array platform, between 2006 and 2011."""
"nsv541973","14:19990023-106870077","86,880,055","CNV","DGVa:nstd54","Database of Genomic Variants Archive: Cooper 2011 ""A copy number variation morbidity map of developmental delay."" PMID:21841781"
"nsv2773993","14:20043513-106877229","86,833,717","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv995182","14:20043514-106877229","86,833,716","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3904265","14:20043514-106877229","86,833,716","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv3919106","14:20043514-106877229","86,833,716","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv530375","14:20151149-106855263","86,704,115","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3917422","14:20151149-106855263","86,704,115","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv984648","14:24475261-106879456","-","complex alteration","DGVa:nstd92","Database of Genomic Variants Archive: Forsberg 2014 ""We describe age-related accumulation of copy number variation (CNVs) on periferal blood cells of elderly men from 2 Swedish cohorts of normally-aging subjects, [ULSAM|http://www2.pubcare.uu.se/ULSAM/] and [PIVUS|http://www.medsci.uu.se/pivus/]. DNA was tested on Illumina genotyping arrays and LogR Ratio and B-allele-frequency data were used to identify somatic copy number events on automosomes and sex chromosomes. Loss of chromosome Y was found in at least 8.2% and 20.5% of subjects respectively. Median survival time and all-cause mortality, as well as cancer mortality, were found to be significatively associated with loss of chromosome Y in the studied subjects."""
